chandler,well that that makes not terrible
phoebe,yeah never find them shes always best that wily minx
rachel,dont worry were just gon search here for hour and then were gon over joeys and search
chandler,not okay you cant look for monicas presents
phoebe,have
chandler,you dont have and you cant because live here too
phoebe,well then you should look with
chandler,why
rachel,chandler arent you worried about what get monica for christmas
chandler,have great idea for present for her
monica,well offense honey but your taste little feminine for
chandler,suddenly flowers are feminine
phoebe,hey everybody happy thanksgiving
joey,phoebs does come here action
phoebe,hey whats going joe
joey,listen iii need good lie
phoebe,ohokhow about the whole man walking the moon thing yknow you can you can see the strings people
joey,nonononoi need good lie explain why wasnt the work thing today
phoebe,honey you stink lying
joey,wha not
phoebe,really let ask you something yesterday the coffeehouse went the bathroom and when came back muffin was gone who took
joey,somebody opened the doorto the coffeehouse and raccoon emphasizes came running and went straight for your muffin said hey dont eat that thats phoebes and saidpauses for whilerealizing how stupid sounds said joey you stink lying what going
phoebe,dont worry dont worry well come with good lie ill help you practice
joey,look dont usually ask out women that meet coffeehouses
joey,turns round gesundheit
joey,really great did actually ask you
joey,turns round again seriously gunther you should see someone about that cold gets much worse you could die gunther looks scared
ross,howd the date
phoebe,well was awful every time thought about what you said started crying
ross,hasnt called
phoebe,would you call this girl puts crying act thanksforalovelyevening
ross,now feel terrible this all fault
phoebe,well you not what you should feel terrible about this could have been serious guy was sweet and smart and funny you know how hard meet guy like that
ross,are rare breed
joey,hey
rachel,joey got tell ive been thinking all day about that scene you did mean you were amazing
joey,you know the writing was good and the director good and and costars good but theyre not good
rachel,god you have tell what happens tomorrow
joey,just going over the script now you wan read lines with
rachel,not actress
joey,all right can ask monica
rachel,screw her that part mine
joey,right pause just from the top the page right here
rachel,okay pauseacting hello drake surprised see you here
rachel,pause kiss
phoebe,excited its great time come wow gosh what are you doing here are you back from minsk
phoebe,who cares got you here
phoebe,wow where your luggage david thinks for while
phoebe,aallright well ill call the cab company
phoebe,thank you god you should see when actually look pretty good
phoebe,just the worst person ever how can not tell david that seeing mike
monica,maybe didnt give you chance
monica,comes over okay you wan play that way you
chandler,shrinks back right you know what actually just get off the plane feeling kinda gross maybe should just take shower
monica,you dont need shower
chandler,still backs away alright the truth soiled myself during some turbulences
monica,what smell sniffs him smell smoke huhdid you smoke
chandler,yes but just had one two two tiny cigarettes okay five pack two packaa carton three big fat cartons two days how many cigs are there one pack and how many packs one carton the but its over made decision not gon smoke anymore
monica,gets pack out his jacket
chandler,but those are for you
ross,alright well just see when you get here bye hangs huh that was mom shes stuck terrible traffic
rachel,okay well thats now the third sign that should not leave emma
ross,what were the other two
rachel,well lets see the first one dont want and you know not going
monica,okay mike were here what would the two you doing
