person,dialogue
monica,didnt hear speech dont kiss
phoebe,missed much kisses mike
monica,thats phoebe
rachel,talked joey
ross,yeah really good talk
rachel,thats great
ross,yeah
rachel,everythings okay
ross,great great amazing guy
rachel,well obviously think
ross,well excited
rachel,really excited
ross,kidding dirty dreams
rachel,excuse walks back joey still looking impressed ross said rachel looks hits didnt tell
joey,couldnt saying really nice things didnt want get mad take back edge chandler
rachel,god ross ross gon pick phone get number back god hes gone
phoebe,rachel get number back god hes gone dead
ross,soon
ross,okay thanks beer
ross,yeah good times
ross,ohh relieved mike gone
phoebe,hey mike listen ross near
phoebe,well back
chandler,ass
rachel,man dont surprised hands feet get bigger
chandler,theydo
monica,kind package deal
chandler,god would want
monica,thought something wanted
chandler,alright lookif means much may able get big boobs giant ass big clown feet
rachel,god chandler cant handle going like hospital blood screaming little present thats shooting
rachel,joey tell chandler monica getting boob job
monica,thats sign right bra actor
joey,monica
monica,dont worry joe wont come next year
joey,rachel got
ross,boys gave phone numbers
joey,let see hands pile tissues damn thats lot guys little slutty
rachel,drunken voice think
joey,browsing tissues let see approve clowns guy wears rug discards one guys canadian discards another guy cult costs get level three dont feel different
joey,discarding remaining tissues one one pass pass pass doublepass pass
rachel,picking tissues whats wrong guys
joey,nothing major know theyre really good enough deserve best
rachel,joey youre sweet
joey,thats true know doesnt matter already know youre gon home tonight
chandler,think weve found sperm
monica,seem pretty perfect
chandler,yeah think well ask
monica,pause
chandler,greatgrandmother obese kids gon get anyway
monica,thats asking questions realized dont care hes perfect guy world hes
chandler,yeah hes better
monica,hes cant get pregnant dont want get pregnant anyone else
chandler,really sure
monica,yeah sure
chandler,sighs relief thank god dont wan either know thought wanted know husband supposed bring sperm
chandler,actually
chandler,apparently sperm low motility inhospitable environment
monica,mean
chandler,means guys wont get barcaloungers uterus prepared kill ones pause means
monica,chandler
chandler,seriously means keep trying theres good chance may never happen
monica,weeping god
chandler,sorry
monica,sorry
chandler,well gon gon figure
rachel,would
rachel,thats really nice
rachel,youre gon like whats coming starts crying sorry sorry sorry thank thank
joey,please dont fire friend let talk
joey,thank thank something tomorrow ill bring hat cover bald
joey,hey listen pheebs talking director thinking maybe time dont hit drake wait tables
phoebe,cant actor process
joey,youre masseuse table hole
phoebe,wait minute see whats happening youre threatened
phoebe,yeah good scene stealing focus well rise challenge tribianni cause raised bar come join
monica,monica phoebes friend listen phoebe back david hes going propose going say yes know really wants
monica,sorry say something cant hear damned hair tries move huge hair away phone vain
monica,dont tell tell call shes paradise hotel barbados ive got youve got curly hair humidity mike hangs phone damnit
monica,sarcastically well hope youre happy
chandler,pretending sense tone oooh hope youre happy honey
monica,phoebe going say yes david see thats happens meddle peoples lives
chandler,phoebe going say yes thats thats great
monica,bcause shes still love mike
chandler,theres chance work
monica,called gon happen
chandler,pointing oooooooh meddler meddler
joey,didnt college
joey,mollypeople dont study acting
ross,mollyerdo mind giving minute
joey,stable boy never get princess
ross,think gon huh sex right couch
joey,leather sticks ass know isnt fair make think gon sleep blow huh cant guy open mind possibilities actually like might want something real ross chandler remain silent truth havent felt way anyone since rachel didnt think could ever love
ross,yea yeah come molly
ross,uhah
ross,pfew good choice ross
rachel,hey ive looking everywhere
ross,yeah hello well
rachel,listen mum bringing baby back nine clock hoping could
ross,yeah yeah thats michelle
ross,woman ive seeing
rachel,youve seeing someone
rachel,unfair like time promoted sandra work
chandler,related ralph lauren
rachel,much better job
phoebe,guys drawing start
rachel,ross know call mums house say goodnight emma goes
ross,yeah good idea
monica,really
chandler,kidding youre beautiful woman rooms jumps kisses breaking kiss whoa whoa whoa whats going made making
monica,well anymore
chandler,dont
monica,know thought would fun
chandler,drunk
monica,drunk enough know wan drunk feel guilty taking advantage
chandler,thinks thats perfect amount
monica,okay
monica,breaking kiss yknow whats weird
phoebe,thought might nice use fancy china dessert
monica,ohhow nice maybe later blow noses wedding dress
ross,hey dude sorry bout
chandler,thats youre totally right dont know anything disciplining child butyou hurt feelingsso want know die dont get joey
rachel,yeahyeah right remember high school died didnt give baby
rachel,decorate dads office youre decorator went zoo yesterdaynow koala bear
rachel,supporyou wan talk supportive didnt even come visit hospital baby
rachel,first time
rachel,andand know wan know giving emily
rachel,uhhuh
joey,couldnt find little plastic thing holds plastic thing goes top blenderand thoughtwell important right turns
rachel,wowdefinitely drake
rachel,whathow going drake
joey,ohi dont think going well
rachel,whatthat scene saw good
joey,well feeling really insecure one shooting tomorrow
rachel,joey thing say youre bad ill give compliment
joey,little yeah really worried know mean make convincing love olivia
ross,hey theres sensitive sensitive
rachel,okay sensitive theres music coming living room ross opens door living room rachel see sandy play song emma recorder rachel moved ross sees point proven walks back kitchen angrily door holding swings back hits rachel
phoebe,hmmm cant bad
phoebe,look david never left yeah wed probably still together right leave iim mike really care
phoebe,points david thanks face massage thank
ross,rachel tell hired male nanny
ross,great lets get going
rachel,mean happened never leaving
ross,somehow time got easier apart
chandler,uhh welcome
monica,know lets talk
monica,uch still mad smoking
chandler,said forgave couple cigarettesno big deal
monica,blablablabaybaybay
chandler,leave
monica,saying ovulating said wouldnt sex fighting
chandler,tricked get bed
monica,excuse
monica,hey least knew guy
monica,didnt hear speech
monica,hey moving youre heartless
monica,youre weird
monica,realizes pants undone zips
monica,damn
monica,blame
ross,hour one classmates shown tell actually die people gon get seriously haunted
rachel,god alright fine know joey forget back new york tell
joey,thank yeah appreciate
phoebe,mikes place
phoebe,ooh fast
phoebe,yeah cant come mike strap pairwhy dont tell got back together know women appreciate honesty also appreciate gentle spanking fyi
phoebe,name precious purebreed pick pound
phoebe,okay know gets upset scratch tummy give liver snout laughs hangs phone
phoebe,stunned phoebe
phoebe,enchant holds hand shake hands
phoebe,sorry honey okay rachel gave guy number erm want ross answer phone intercept calls
phoebe,rachel says cant
rachel,give rachel takes phone phoebe mike listen know lot ask know phoebe anything want seriously talking dirty stuff
phoebe,alright give phoebe takes phone hello sorry wasnt wrong dirty stuff
phoebe,mike bye hangs
ross,wwhy blocking route entry
ross,exasperated left
monica,joey chandler knows borrowed money
joey,mmmm hmm boob job
